ticker,sharesOutstandingPCT,sharesOutstandingTotal,totalHoldingsValue,increasedPositionsHolders,increasedPositionsShares,decreasedPositionsHolders,decreasedPositionsShares,heldPositionsHolders,heldPositionsShares,totalPositionsHolders,totalPositionsShares,newPositionsHolders,newPositionsShares,soldOutPositionsHolders,soldOutPositionsShares,inserted
ALTR,95.61,52,"2,370",82,2444016,97,2877480,27,44778355,206,50099851,22,333376,28,1021298,"28-11-2022 21:59:51"
ALTU,62.55,5,31,10,1083343,11,2081083,10,2743,31,3161683,9,1068767,8,1710374,"28-11-2022 21:59:51"
ALTUU,0.22,30,1,0,0,4,5891,2,59926,6,65817,0,0,3,5791,"28-11-2022 21:59:51"
ALVO,8.51,249,128,3,1887795,10,597017,9,18670568,22,21155380,1,463320,6,147471,"28-11-2022 21:59:51"
ALVR,39.97,93,273,57,9885301,40,813080,10,26535367,107,37233748,22,104530,18,362559,"28-11-2022 21:59:51"
ALXO,89.43,41,389,46,3429259,49,2935209,22,30085169,117,36449637,20,1612502,17,506685,"28-11-2022 21:59:51"
ALYA,20.63,87,31,7,109237,11,567913,10,17309087,28,17986237,0,0,1,254081,"28-11-2022 21:59:51"
ALZN,8.31,95,10,8,5205776,12,362519,6,2367844,26,7936139,5,651764,9,360434,"28-11-2022 21:59:51"
AMAL,48.97,31,397,83,4129552,36,543863,17,10346366,136,15019781,30,2222473,5,90046,"28-11-2022 21:59:51"
AMAT,76.75,860,"69,869",730,38095797,741,37610418,245,584559312,"1,716",660265527,79,5160096,141,4857210,"28-11-2022 21:59:51"
AMBA,79.63,38,"2,214",115,4603284,131,3658261,43,22330906,289,30592451,25,1718157,43,1182525,"28-11-2022 21:59:51"
AMCI,82.82,15,122,10,285031,8,241021,24,11896910,42,12422962,4,188350,1,36656,"28-11-2022 21:59:51"
AMCX,87.61,31,577,92,2532518,115,3230880,41,21830900,248,27594298,22,292573,42,634873,"28-11-2022 21:59:51"
AMD,68.39,"1,612","82,858",842,100704425,823,67677262,193,934332539,"1,858",1102714226,133,33564786,203,8399450,"28-11-2022 21:59:51"
AMED,97.48,32,"2,883",144,3696034,152,2319956,35,25656795,331,31672785,39,2142905,41,584068,"28-11-2022 21:59:51"
AMEH,35.01,57,584,96,2071721,46,245174,24,17540006,166,19856901,29,1074642,8,32010,"28-11-2022 21:59:51"
AMGN,77.16,534,"116,817","1,063",12290129,"1,001",18648664,389,380767060,"2,453",411705853,109,1080135,119,1123255,"28-11-2022 21:59:51"
AMKR,38.68,245,"2,587",136,4672006,122,5510253,45,84563396,303,94745655,37,1524425,27,931551,"28-11-2022 21:59:51"
AMLX,56.51,66,"1,451",71,17717675,35,6895958,4,12828634,110,37442267,33,6932830,15,2329942,"28-11-2022 21:59:51"
AMNB,39.45,11,159,28,67371,37,190167,25,3927928,90,4185466,8,31483,9,26913,"28-11-2022 21:59:51"
AMOT,59.8,16,347,43,1099482,41,384983,15,8017257,99,9501722,9,257499,7,52326,"28-11-2022 21:59:51"
AMPG,6.45,10,1,7,27999,7,125385,3,467483,17,620867,3,15380,4,89913,"28-11-2022 21:59:51"
AMPH,62.71,48,884,104,2632566,118,3167647,22,24507573,244,30307786,23,558748,35,1311989,"28-11-2022 21:59:51"
AMPL,67.43,69,649,74,7511011,49,7028231,30,31784818,153,46324060,22,2462925,18,2883070,"28-11-2022 21:59:51"
AMRK,50.18,23,404,54,1631667,68,2102412,20,8035696,142,11769775,15,588695,23,494863,"28-11-2022 21:59:51"
AMRN,33.87,383,152,55,24841147,99,32757111,95,72229488,249,129827746,19,17564259,43,5050314,"28-11-2022 21:59:51"
AMRS,36.21,325,217,102,11385607,88,33069834,50,73299665,240,117755106,25,1853173,36,10787065,"28-11-2022 21:59:51"
AMSC,47.44,29,59,39,2441223,39,1801890,23,9628274,101,13871387,10,504091,18,776443,"28-11-2022 21:59:51"
AMSF,97.76,19,"1,078",68,514649,90,873020,31,17338697,189,18726366,11,143620,23,199751,"28-11-2022 21:59:51"
AMST,4.53,30,0,7,630642,7,94875,2,647908,16,1373425,4,623880,4,31530,"28-11-2022 21:59:51"
AMSWA,87.03,32,404,79,2200065,59,1639554,23,23860344,161,27699963,17,246235,18,330025,"28-11-2022 21:59:51"
AMTB,39.83,34,390,35,584764,49,508446,17,12359500,101,13452710,11,285576,12,83917,"28-11-2022 21:59:51"
AMTI,59.51,39,24,20,2365504,36,5534044,11,15273793,67,23173341,9,1488588,15,1508998,"28-11-2022 21:59:51"
AMTX,50.99,35,94,54,1735347,33,1814864,15,14319953,102,17870164,19,635437,11,134883,"28-11-2022 21:59:51"
AMV,0.0,10,0,2,350,0,0,0,0,2,350,2,350,0,0,"28-11-2022 21:59:51"
AMWD,92.0,17,856,83,919842,81,951214,22,13420855,186,15291911,21,292781,23,489091,"28-11-2022 21:59:51"
AMYT,14.23,321,323,27,1221057,17,448127,29,43952822,73,45622006,9,613820,10,187031,"28-11-2022 21:59:51"
AMZN,58.97,"10,202","561,926","2,202",241470585,"1,637",178214805,362,5596006730,"4,201",6015692120,174,51146637,110,10885571,"28-11-2022 21:59:51"
ANAB,114.73,28,918,51,3550916,63,3084155,28,25983459,142,32618530,13,84414,25,1839504,"28-11-2022 21:59:51"
ANDE,84.35,34,"1,057",104,1675521,96,1750768,29,24833436,229,28259725,23,540613,28,387597,"28-11-2022 21:59:51"
ANEB,26.7,26,17,5,2215456,5,50374,1,4577119,11,6842949,2,511673,0,0,"28-11-2022 21:59:51"
ANGH,0.1,26,0,3,20685,7,72851,0,66655,10,26881,2,17180,6,69316,"28-11-2022 21:59:51"
ANGI,77.14,82,135,67,10428942,63,12450595,26,40720423,156,63599960,26,4903714,21,6639945,"28-11-2022 21:59:51"
ANGN,17.04,30,5,14,677671,23,709278,10,3745451,47,5132400,5,55659,7,324359,"28-11-2022 21:59:51"
ANGO,95.28,39,510,70,2271306,58,2447602,31,32541522,159,37260430,23,516910,8,740892,"28-11-2022 21:59:51"
ANIK,92.37,15,409,61,1164566,56,1165533,20,11165568,137,13495667,12,322667,14,295010,"28-11-2022 21:59:51"
ANIP,56.61,17,412,52,1018502,61,1024916,24,7837978,137,9881396,19,336829,11,526958,"28-11-2022 21:59:51"
ANIX,11.38,31,17,13,324950,15,103262,19,3062324,47,3490536,4,52474,7,50413,"28-11-2022 21:59:51"
ANNX,99.84,48,278,34,10892670,35,1744620,18,34919061,87,47556351,9,1975425,14,592496,"28-11-2022 21:59:51"
